req.url,count(*)
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-schlotmann/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10788/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,23
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10518/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,36
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-schlotmann,72
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-schlotmann/users,48
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10788,69
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10710/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10788/users,46
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10939,36
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10939/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12210,105
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10939/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10907/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,48
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10947/calls,5
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10902/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10987/calls/614c1ebb9c3d43001917aaaf,2
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10907/users,98
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10907,148
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10814/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,35
/v/dev-0.0/tenants/smartpatcher/subtenants?phone_number=00493012053179109470,5
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10810/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,36
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10710,36
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10908,122
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10810/users,76
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10902/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12274,36
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12274/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10695/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10587/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,13
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10587,45
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10587/users,29
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12261,108
